Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary
Jaylen Samuels,RB,PIT,0,0,0,0,2,0,bye,7,6,18,2,4,17,48,40,53,31,228,16.3,25,13,30,4.57,0.57,1.53,0.22,0.9,0.09,0,,
Zach Line,RB,NO,11,22,12,18,15,bye,13,7,23,17,13,12,1,17,16,12,17,226,14.1,4,4,22,4.56,0.29,1.5,0.15,0.5,0.06,0,,
Isaiah McKenzie,WR,BUF,0,0,0,0,0,0,0,3,0,7,bye,33,36,59,35,39,13,225,28.1,4,13,41,6.6,0.64,1.5,0.2,0.62,0,0.33,,
Keith Kirkwood,WR,NO,0,0,0,0,0,bye,0,0,0,34,25,30,27,22,34,38,15,225,28.1,0,9,44,3.75,0.58,1.6,0.16,0.62,0.06,0,,
Blake Bell,TE,KC,0,0,0,0,0,0,22,32,0,27,25,16,18,23,19,25,14,221,22.1,0,5,34,3.75,0.49,1.5,0.08,0.89,0,0,,
Justin Hardy,WR,ATL,6,14,15,14,17,36,14,bye,14,10,10,10,11,14,10,11,15,221,13.8,0,10,21,3.75,0.52,1.5,0.17,0.7,0.06,0,,
Breshad Perriman,WR,TB,0,0,0,0,bye,0,11,9,26,13,0,35,26,19,28,32,19,218,21.8,2,11,35,3.75,0.61,2.54,0.19,0.64,0.06,0,,
J.J. Nelson,WR,OAK,1,23,6,6,2,11,17,17,0,20,17,18,12,48,15,0,0,213,15.2,2,9,26,3.75,0.62,1.5,0.15,0.37,0,0,,
Blaine Gabbert,QB,TB,33,59,9,0,bye,0,0,0,0,0,28,0,1,0,3,29,49,211,26.4,3,0,40,3.75,0,1.5,0,0,0,0,,
Cody Latimer,WR,NYG,47,44,40,0,0,32,0,0,bye,0,0,0,0,0,0,20,26,209,34.8,0,8,52,3.75,0.68,1.5,0.11,0.69,0.04,0,,
Bilal Powell,RB,NYJ,24,34,34,36,34,32,14,0,0,0,bye,0,0,0,0,0,0,208,29.7,38,9,47,4.29,0.47,1.5,0.17,0.65,0.06,0,,
Damien Williams,RB,KC,7,9,7,3,2,3,2,0,0,1,0,bye,19,43,44,39,28,207,12.9,24,12,25,5.12,0.57,1.5,0.21,0.96,0.04,0.29,,
Josh Johnson,QB,DET,0,0,0,0,0,bye,0,0,0,0,0,0,0,29,68,62,45,204,51,11,0,86,3.75,0,1.5,0,0,0,0,,
Chase Edmonds,RB,ARI,17,10,8,7,3,4,22,13,bye,17,11,9,13,10,25,13,16,198,12.4,30,12,21,3.47,0.58,1.5,0.2,0.87,0,0.22,,
Jordan Wilkins,RB,IND,46,23,17,32,18,0,15,3,bye,5,11,8,5,0,2,0,13,198,12.4,30,9,21,5.6,0.51,1.5,0.16,1,0,0.08,,
Ted Ginn,WR,NO,50,30,52,38,0,bye,0,0,0,0,0,0,0,0,0,27,0,197,39.4,2,15,57,8.67,0.72,1.5,0.21,0.59,0.06,0,,
Jimmy Garoppolo,QB,SF,66,64,67,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,197,65.7,4,0,99,3.75,0,1.5,0,0,0,0,,
Jeff Wilson,RB,SF,0,0,0,0,0,0,0,0,0,0,bye,25,54,62,12,38,6,197,32.8,34,8,51,4.03,0.54,1.5,0.14,0.8,0,0,,
Marcus Murphy,RB,BUF,23,23,16,0,0,0,18,1,24,24,bye,2,6,40,19,0,0,196,17.8,27,10,26,4.81,0.51,1.5,0.17,0.65,0,0,,
Andre Roberts,WR,BUF,10,0,1,0,2,7,31,32,0,1,bye,5,10,0,29,24,40,192,12.8,1,9,26,10,0.63,1.5,0.15,0.56,0.07,0,,
MyCole Pruitt,TE,TEN,0,0,13,3,7,5,7,bye,7,8,9,8,7,22,40,27,29,192,12.8,0,6,22,3.75,0.26,2.04,0.22,0.82,0.07,0,,
Richie James,WR,SF,0,7,0,0,24,0,3,0,23,5,bye,31,30,4,3,4,58,192,14.8,0,7,26,3.75,0.63,1.5,0.11,0.69,0.04,0,,
Josh McCown,QB,PHI,0,0,0,0,0,0,0,0,bye,56,0,64,68,3,0,0,0,191,47.8,3,0,80,3.75,0,1.5,0,0,0,0,,
Marcedes Lewis,TE,GB,7,14,7,17,12,22,bye,12,7,10,10,23,8,16,11,11,4,191,11.9,0,2,18,3.75,0.23,1.5,0.07,1,0,0,,
Sean Culkin,TE,LAC,17,16,20,13,19,24,11,bye,16,11,10,7,11,0,0,0,16,191,14.7,0,1,24,3.75,0.21,1.5,0.02,1,0,0,,
Tyrod Taylor,QB,LAC,89,62,31,0,0,0,0,bye,3,0,0,0,0,0,0,0,0,185,46.3,9,0,61,3.75,0,1.5,0,0,0,0,,
Marvin Hall,WR,CHI,9,9,12,16,19,15,12,0,14,6,8,12,10,5,18,11,9,185,11.6,1,10,17,3.75,0.63,1.5,0.16,0.53,0.04,0,,
Trenton Cannon,RB,NYJ,12,0,0,0,1,3,23,29,7,13,bye,9,9,18,23,18,20,185,11.6,21,14,23,3.75,0.55,1.5,0.26,0.65,0,0.1,,
Russell Shepard,WR,NYG,3,6,1,51,32,0,0,2,bye,1,7,13,7,26,34,0,0,183,15.3,0,10,25,3.75,0.73,1.5,0.14,0.56,0.09,0,,
Ryan Hewitt,RB,TEN,0,17,16,14,16,12,26,21,0,0,0,0,13,26,9,4,8,182,15.2,0,1,21,3.75,0.2,1.5,0.03,1,0.07,0,,
Darius Jennings,WR,TEN,6,6,7,16,8,5,3,bye,6,5,12,11,4,18,15,29,30,181,11.3,1,8,18,3.75,0.55,1.5,0.15,0.73,0,0,,
Anthony Firkser,TE,TEN,0,7,0,0,0,15,15,bye,8,3,14,13,18,23,15,28,22,181,15.1,0,11,25,3.75,0.67,1.84,0.16,0.95,0.07,0,,
Taysom Hill,QB,NO,1,0,5,15,14,bye,26,18,11,23,13,11,7,7,12,10,8,181,11.3,20,4,18,3.75,0.19,1.5,0.21,0.43,0,0,,
Rashaad Penny,RB,SEA,25,20,10,16,0,13,bye,0,12,27,17,10,12,14,0,0,4,180,12.9,47,7,22,4.93,0.42,1.5,0.16,0.75,0,0.13,,
Vyncint Smith,WR,HOU,37,0,41,0,0,0,0,8,3,bye,0,0,0,0,0,25,65,179,25.6,0,6,44,3.75,0.67,1.5,0.08,0.56,0.04,0,,
Eric Saubert,TE,NE,13,8,5,4,8,14,8,0,6,4,1,13,6,32,30,7,19,178,11.1,0,5,17,3.75,0.38,1.5,0.13,0.56,0,0,,
Cam Batson,WR,TEN,0,0,0,0,0,0,6,bye,30,34,39,28,23,7,4,3,4,178,16.2,1,6,28,3.75,0.61,1.5,0.1,0.73,0,0,,
Durham Smythe,TE,MIA,15,9,9,2,7,5,4,4,9,0,bye,10,17,20,16,23,26,176,11.7,0,6,20,3.75,0.25,1.5,0.18,0.75,0,0,,
Damion Ratley,WR,CLE,0,0,1,0,0,65,40,32,20,2,bye,2,7,2,1,3,0,175,13.5,0,11,22,3.75,0.69,1.5,0.17,0.65,0,0,,
Xavier Grimble,TE,PIT,22,8,16,2,10,21,bye,13,0,16,4,13,7,6,9,15,12,174,10.9,0,5,17,3.75,0.28,1.76,0.14,0.86,0,0,,
Orson Charles,TE,DEN,8,18,21,25,7,5,9,14,17,14,0,24,6,5,0,0,0,173,13.3,0,3,19,3.75,0.16,1.5,0.15,0.75,0,0,,
Terrelle Pryor,WR,JAC,24,44,44,2,13,44,0,0,bye,0,0,0,0,0,0,0,0,171,28.5,0,13,46,3.75,0.96,1.53,0.16,0.59,0.13,0,,
Patrick DiMarco,RB,BUF,1,8,12,4,13,12,7,12,3,14,bye,6,10,12,15,3,36,168,10.5,1,2,16,9,0.26,1.5,0.09,0.75,0,0,,
Keith Smith,RB,OAK,7,8,19,13,7,6,bye,11,10,9,14,6,9,5,7,21,10,162,10.1,0,0,0,3.75,0.22,1.5,0.19,0.71,0,0,,
Tommy Bohanon,RB,GB,12,6,5,2,11,4,10,6,0,18,22,19,11,7,4,19,5,161,10.1,0,0,0,3.75,0.17,1.5,0.29,0.75,0,0,,
Adam Shaheen,TE,CHI,0,0,0,0,bye,0,0,0,0,0,19,0,24,22,27,29,39,160,26.7,0,4,38,3.75,0.34,1.5,0.11,0.83,0.04,0,,
Wayne Gallman,RB,NYG,6,5,16,9,8,17,5,2,bye,5,6,14,15,27,0,8,12,155,10.3,0,0,0,3.45,0.5,1.5,0.27,0.67,0,0.08,,
C.J. Anderson,RB,DET,12,8,3,0,7,1,3,12,3,5,0,0,0,0,0,51,47,152,13.8,44,6,21,6.01,0.33,1.5,0.14,0.71,0.05,0.18,,
Kenneth Dixon,RB,BAL,22,0,0,0,0,0,0,0,0,bye,0,0,17,23,39,29,22,152,25.3,39,5,34,5.55,0.32,1.5,0.14,0.86,0,0.13,,
Rex Burkhead,RB,NE,38,14,7,0,0,0,0,0,0,0,bye,0,17,17,16,25,17,151,18.9,38,13,28,3.26,0.47,1.85,0.27,0.74,0.03,0,,
Rod Smith,RB,NYG,4,3,3,13,11,8,0,0,7,10,8,5,8,13,6,3,49,151,9.4,0,0,0,3.75,0.5,1.5,0.15,0.82,0,0.08,,
Justin Jackson,RB,LAC,0,0,0,0,0,7,5,bye,0,0,0,13,14,21,56,21,12,149,11.5,34,13,30,4.12,0.45,2.01,0.25,0.88,0,0.13,,
Chase Daniel,QB,CHI,0,0,0,3,bye,0,1,0,3,0,0,58,83,0,0,0,0,148,29.6,9,1,42,3.75,0.02,2.67,0.33,1,0,0,,
Nathan Peterman,QB,OAK,32,0,0,0,0,24,bye,2,90,0,0,0,0,0,0,0,0,148,37,7,0,52,3.75,0,1.5,0,0,0,0,,
Darren Sproles,RB,PHI,29,0,0,0,0,0,0,0,bye,0,0,0,9,23,20,38,27,146,24.3,20,16,35,4.14,0.64,1.7,0.23,0.68,0.06,0.08,,
Derek Watt,RB,LAC,7,7,8,11,14,10,3,bye,11,11,10,12,2,10,6,3,21,146,9.1,0,0,0,3.75,0.16,1.5,0.04,1,0,0,,
Rico Gathers,TE,CLE,0,5,5,10,7,14,7,0,18,10,9,15,10,14,10,6,6,146,9.7,0,0,0,3.75,0.28,1.5,0.17,0.43,0,0,,
Ryan Izzo,TE,MIN,9,8,9,9,7,8,4,7,12,bye,9,17,4,7,23,9,4,146,9.1,0,0,0,3.75,0,1.5,0,0,0,0,,
Dan Arnold,TE,NO,0,0,0,0,14,bye,12,10,13,28,15,12,12,0,14,0,11,141,14.1,0,13,22,3.75,0.62,1.7,0.22,0.63,0.03,0,,
CJ Ham,RB,MIN,13,7,17,20,8,14,2,10,2,bye,3,8,5,10,18,3,0,140,9.3,0,0,0,3.75,0.42,1.5,0.24,0.79,0,0,,
Ricky Ortiz,RB,ATL,10,12,9,12,13,13,13,bye,6,0,0,7,8,0,0,16,20,139,11.6,0,3,18,3.75,0.32,1.5,0.07,1,0,0,,
Jake Kumerow,WR,GB,0,0,0,0,0,0,bye,0,0,0,0,0,5,6,21,57,47,136,27.2,0,8,39,3.75,0.76,1.5,0.1,0.8,0.04,0,,
Tyler Eifert,TE,CIN,23,49,42,19,0,0,0,0,bye,0,0,0,0,0,0,0,0,133,33.3,0,14,49,3.75,0.71,1.88,0.19,0.83,0.04,0,,
Corey Coleman,WR,NYG,0,0,0,0,0,0,0,0,bye,8,5,13,11,42,22,15,16,132,16.5,1,6,26,5,0.55,1.5,0.11,0.63,0,0,,
Will Dissly,TE,SEA,33,47,39,8,0,0,bye,0,0,0,0,0,0,0,0,0,0,127,31.8,0,11,49,3.75,0.53,2.33,0.18,0.67,0.06,0,,
Cameron Meredith,WR,NE,0,0,34,22,30,0,18,9,13,0,bye,0,0,0,0,0,0,126,21,0,8,30,3.75,0.66,1.5,0.12,0.9,0.03,0,,
A.J. Derby,TE,NO,46,34,14,0,0,bye,0,0,0,30,0,0,0,0,0,0,0,124,31,0,4,53,3.75,0.45,1.5,0.09,0.6,0.03,0,,
Malcolm Brown,RB,LAR,4,23,13,2,0,16,25,9,6,8,14,bye,3,0,0,0,0,123,10.3,0,0,0,4.93,0.38,1.5,0.13,0.83,0.03,0,,
Elijhaa Penny,RB,NYG,0,0,6,5,0,3,6,2,bye,7,16,11,16,15,6,17,13,123,8.8,0,0,0,3.57,0.2,2.08,0.38,0.89,0,0,,
Ray-Ray McCloud,WR,BUF,0,0,14,20,13,14,0,11,17,19,bye,0,0,1,8,0,4,121,12.1,2,5,17,3.75,0.61,1.5,0.08,0.83,0,0,,
Brice Butler,WR,MIA,0,0,0,0,1,0,2,0,0,0,bye,22,34,18,25,14,4,120,15,0,8,28,3.75,0.6,1.5,0.14,0.6,0.04,0,,
Ben Braunecker,TE,CHI,2,1,5,12,bye,8,13,0,0,13,14,11,4,5,10,5,16,119,7.9,0,0,0,3.75,0.31,1.5,0.14,0.6,0,0,,
Zach Zenner,RB,DET,0,0,0,0,0,bye,0,0,0,2,3,4,3,16,26,27,37,118,14.8,47,8,22,4.82,0.36,1.5,0.24,0.7,0,0.27,,
Tyler Kroft,TE,BUF,18,34,21,20,24,0,0,0,0,0,bye,0,0,0,0,0,0,117,23.4,0,5,35,3.75,0.27,1.5,0.16,0.8,0,0,,
Tavon Austin,WR,DAL,10,18,19,17,23,18,0,bye,0,0,0,0,0,0,0,0,10,115,16.4,5,11,25,9.17,0.61,2,0.17,0.67,0.09,0,,
Alex Armah,RB,CAR,20,3,17,bye,10,2,3,10,10,6,1,4,1,5,3,8,12,115,7.2,0,0,0,3.75,0.11,1.5,0.08,1,0,0.17,,
Jamize Olawale,RB,DAL,6,9,3,6,6,8,1,bye,4,9,10,8,9,11,5,5,14,114,7.1,0,0,0,3.75,0.29,1.5,0.12,0.5,0,0,,
Deontay Burnett,WR,NYJ,0,0,0,0,0,0,0,41,20,0,bye,0,0,0,0,22,30,113,28.3,0,12,48,3.75,0.75,1.68,0.18,0.67,0,0,,
Roosevelt Nix,RB,PIT,19,4,11,1,8,17,bye,10,0,6,4,8,3,4,5,5,5,110,6.9,0,0,0,4,0.2,1.73,0.23,0.8,0,0,,
Ben Koyack,TE,JAC,0,0,0,0,0,0,0,0,bye,0,21,18,16,17,11,22,5,110,15.7,0,0,26,3.75,0,1.5,0,0,0,0,,
Eli Rogers,WR,PIT,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,28,38,43,109,36.3,1,13,53,3.75,0.71,1.5,0.17,0.92,0,0,,
Trey Quinn,WR,WAS,8,0,0,bye,0,0,0,0,0,0,53,46,0,0,0,0,0,107,35.7,1,9,49,3.75,0.68,1.5,0.14,0.9,0.07,0,,
Noah Brown,WR,DAL,0,0,0,0,0,0,0,bye,0,9,10,20,21,8,13,11,10,102,12.8,0,8,18,3.75,0.24,2.25,0.33,0.63,0,0,,
Colt McCoy,QB,WAS,0,0,0,bye,0,0,0,0,0,0,24,63,13,0,0,0,0,100,33.3,10,0,55,3.75,0,1.5,0,0,0,0,,
Brandon Powell,WR,DET,0,0,0,0,0,bye,0,1,0,24,0,0,0,0,12,15,47,99,16.5,1,17,30,4,0.67,1.95,0.26,0.65,0,0,,
Anthony Sherman,RB,KC,17,13,8,4,5,2,11,4,5,4,1,bye,6,6,3,2,7,98,6.1,0,0,0,3.75,0.31,3.2,0.3,0.89,0.02,0,,
Seth DeValve,TE,CLE,6,0,0,0,9,1,0,5,14,4,bye,15,6,7,15,14,2,98,7.5,0,0,0,3.75,0.48,1.57,0.15,0.71,0.04,0,,
Jake Butt,TE,DEN,36,26,35,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,97,32.3,0,13,46,3.75,0.53,1.67,0.22,0.73,0,0,,
Marcus Johnson,WR,IND,0,5,2,19,35,34,0,0,bye,0,0,0,0,0,0,0,0,95,19,1,8,26,3.75,0.68,1.57,0.12,0.75,0.03,0,,
Joshua Perkins,TE,PHI,4,26,31,8,1,11,7,7,bye,0,0,0,0,0,0,0,0,95,10.6,0,12,17,3.75,0.53,1.5,0.22,0.45,0,0,,
Mark Walton,RB,MIA,0,0,7,28,12,19,13,11,0,2,0,0,1,0,0,0,0,93,6.6,0,0,0,3.75,0.61,1.5,0.12,0.71,0,0,,
Kalen Ballage,RB,MIA,0,0,0,1,2,0,3,1,4,5,bye,2,8,0,26,14,26,92,7.7,0,0,0,5.31,0.46,1.5,0.26,0.82,0,0.14,,
Taylor Heinicke,QB,CAR,0,0,0,bye,0,0,0,3,0,3,1,0,1,1,0,82,0,91,15.2,5,0,20,3.75,0,1.5,0,0,0,0,,
Ronald Jones II,RB,TB,0,0,0,20,bye,12,29,11,0,0,0,0,9,4,4,0,1,90,10,0,0,0,3.75,0.6,1.5,0.17,0.78,0,0.13,,
Raheem Mostert,RB,SF,1,0,3,1,13,23,22,12,14,0,bye,0,0,0,0,0,0,89,9.9,0,0,0,7.68,0.42,1.5,0.19,0.86,0,0.17,,
Charone Peake,WR,NYJ,13,0,0,0,0,0,9,16,2,22,bye,6,2,1,7,9,2,89,6.8,0,0,0,3.75,0.6,1.5,0.06,0.67,0,0,,
Khadarel Hodge,WR,LAR,0,0,0,0,27,4,8,2,1,2,9,bye,2,1,2,9,18,85,6.1,0,0,0,3.75,0.33,1.5,0.11,0.67,0,0,,
Brian Quick,WR,WAS,0,5,1,bye,12,11,31,0,0,21,0,0,0,0,0,0,0,81,13.5,0,4,22,3.75,0.58,1.5,0.06,1,0,0,,
Gabe Holmes,TE,IND,9,17,1,13,13,12,13,3,bye,0,0,0,0,0,0,0,0,81,10.1,0,0,0,3.75,0,1.5,0,0,0,0,,
Tyler Ervin,RB,BAL,7,0,0,0,3,0,22,35,10,bye,0,0,0,0,0,0,0,77,8.6,0,0,0,3.75,0.48,1.5,0.08,1,0,0,,
Auden Tate,WR,CIN,0,0,0,0,0,0,0,0,bye,7,1,32,0,1,0,3,33,77,11,0,16,21,3.75,0.68,1.5,0.23,0.33,0,0,,
Jalen Tolliver,WR,KC,0,0,0,0,0,0,0,0,0,0,0,bye,0,12,42,23,0,77,25.7,0,8,40,3.75,0.7,1.5,0.11,0.5,0,0,,
Geremy Davis,WR,LAC,0,6,5,8,9,10,1,bye,0,0,0,13,1,1,11,0,9,74,5.3,0,0,0,3.75,0,1.5,0,0,0,0,,
J'Mon Moore,WR,GB,0,0,0,11,14,17,bye,0,0,5,0,11,0,0,0,0,16,74,6.2,0,0,0,3.75,0.74,1.5,0.05,0.67,0,0,,
Matt Barkley,QB,BUF,0,0,0,0,0,0,0,0,0,73,bye,0,0,0,0,0,0,73,73,4,0,100,3.75,0,1.5,0,0,0,0,,
Justin Watson,WR,TB,0,0,0,3,bye,6,2,12,5,6,4,9,7,8,2,0,9,73,6.1,0,0,0,3.75,0.41,1.5,0.07,0.5,0,0,,
Teddy Bridgewater,QB,NO,0,0,0,0,3,bye,0,1,0,11,4,0,0,0,0,0,52,71,14.2,15,0,24,3.75,0,1.5,0,0,0,0,,
Keith Ford,RB,GB,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,41,30,0,71,35.5,30,7,55,3.76,0.45,1.5,0.13,0.75,0,0,,
DeAndre Washington,RB,OAK,0,0,0,0,0,0,bye,2,10,6,23,8,6,1,2,5,7,70,7,0,0,0,3.83,0.36,1.5,0.04,1,0,0,,
Tommylee Lewis,WR,DET,5,0,0,0,0,bye,0,0,0,0,0,28,0,13,11,4,9,70,10,0,0,0,5,0.53,1.62,0.08,1,0.05,0,,
Taquan Mizzell,RB,CHI,0,0,0,0,bye,0,0,0,7,8,1,9,14,6,11,9,5,70,7.8,0,0,0,3.75,0,1.5,0,0,0,0,,
Nick Williams,WR,DEN,0,0,0,30,19,0,10,10,0,bye,0,0,0,0,0,0,0,69,17.3,0,7,26,3.75,0.74,1.5,0.1,0.4,0,0,,
Bobo Wilson,WR,TB,0,0,0,0,bye,0,0,0,0,0,0,0,12,17,13,13,14,69,13.8,0,7,21,3.75,0.64,1.5,0.11,0.8,0,0,,
Josh Malone,WR,CIN,2,6,29,4,10,4,0,4,bye,0,0,0,0,0,0,1,8,68,7.6,0,0,0,3.75,0.65,1.5,0.09,0.25,0,0,,
Victor Bolden Jr.,WR,BUF,0,0,0,0,57,3,0,5,0,0,bye,0,0,0,0,0,3,68,11.3,0,6,24,3.75,0.6,1.5,0.1,0.25,0,0,,
Kyle Allen,QB,CAR,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,9,59,68,34,7,0,42,3.75,0,1.5,0,0,0,0,,
Devonta Freeman,RB,ATL,39,0,0,0,28,0,0,bye,0,0,0,0,0,0,0,0,0,67,33.5,21,10,47,4.86,0.54,1.5,0.19,0.71,0,0,,
Robert Tonyan,TE,GB,0,0,0,0,3,2,bye,3,2,0,3,1,9,7,8,15,14,67,4.2,0,0,0,3.75,0.66,1.75,0.11,0.8,0.04,0,,
Darrell Daniels,TE,ARI,0,0,0,0,20,33,0,9,2,3,0,0,0,0,0,0,0,67,7.4,0,0,0,3.75,0.37,1.5,0.08,0,0,0,,
Brian Hill,RB,ATL,0,0,0,0,0,0,0,bye,0,0,0,6,0,9,5,14,32,66,6.6,0,0,0,7.85,0.42,1.5,0.07,0.5,0,0,,
DeShone Kizer,QB,GB,14,0,0,0,0,0,bye,0,0,0,0,0,0,1,0,0,47,62,20.7,8,0,37,3.75,0,1.5,0,0,0,0,,
Matt Flanagan,TE,WAS,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,22,28,11,61,20.3,0,3,34,3.75,0.25,1.5,0.07,1,0,0,,
Russell Gage,WR,ATL,1,0,2,1,2,6,0,bye,0,0,0,0,1,6,20,8,13,60,4,0,0,0,3.75,0.53,1.97,0.31,0.6,0,0,,
Jacob Hollister,TE,SEA,0,14,0,0,4,3,bye,0,0,22,0,5,6,5,0,0,0,59,7.4,0,0,0,3.75,0.47,1.86,0.18,0.8,0,0,,
Dontrell Hilliard,RB,CLE,0,0,0,0,0,0,0,15,4,9,bye,3,12,4,2,8,1,58,5.3,0,0,0,3.75,0.59,3.09,0.29,0.9,0,0,,
Dwayne Harris,WR,OAK,0,0,2,4,0,4,bye,1,1,2,0,2,7,6,5,10,10,54,3.6,0,0,0,6,0.5,1.5,0.22,1,0,0,,
Jerome Cunningham,TE,DET,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,4,20,29,53,17.7,0,2,26,3.75,0.28,1.5,0.07,0,0,0,,
John Kelly,RB,LAR,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,7,17,26,50,12.5,54,6,23,3.75,0.22,2.45,0.27,0.67,0,0,,
Michael Burton,RB,NO,9,0,1,7,0,bye,0,0,8,7,0,0,1,10,0,6,0,49,6.1,0,0,0,3.75,0.12,1.5,0.17,1,0,0,,
Kenjon Barner,RB,ATL,0,0,0,10,0,5,17,7,3,0,0,0,0,0,0,6,0,48,5.3,0,0,0,3.74,0.4,1.5,0.05,1,0,0,,
Cameron Artis-Payne,RB,CAR,0,0,0,bye,0,0,0,0,0,0,3,1,1,1,0,4,38,48,5.3,0,0,0,3.63,0.23,1.5,0.36,0.75,0,0.08,,
Byron Marshall,RB,WAS,0,0,0,bye,0,0,0,0,0,0,17,1,0,18,7,3,1,47,7.8,0,0,0,3,0.62,1.5,0.21,0.67,0,0,,
Dwayne Washington,RB,NO,0,0,0,2,0,bye,0,0,0,16,4,0,0,0,0,0,24,46,3.5,0,0,0,3.75,0,1.5,0,0,0,0,,
Chad Beebe,WR,MIN,0,0,0,0,0,0,0,0,13,bye,29,0,0,0,0,4,0,46,15.3,0,9,27,3.75,0.8,1.5,0.11,1,0,0,,
Damiere Byrd,WR,ARI,0,0,0,0,13,0,2,9,9,4,6,1,0,0,0,0,0,44,5.5,0,0,0,3.75,0.45,1.5,0.1,0.5,0,0,,
Malik Turner,WR,SEA,0,0,0,0,0,0,bye,0,3,0,9,6,14,7,4,0,0,43,7.2,0,0,0,3.75,0.28,1.67,0.17,1,0,0,,
Richard Rodgers,TE,PHI,0,0,0,0,0,0,0,0,bye,0,0,8,10,2,4,13,5,42,7,0,0,0,3.75,0.29,1.5,0.08,1,0,0,,
Darren Waller,TE,OAK,0,0,0,0,0,0,bye,0,0,0,0,0,0,4,9,14,15,42,10.5,2,14,17,21,0.69,2.59,0.21,1,0,0,,
Johnny Mundt,TE,LAR,2,0,2,2,2,2,11,0,0,0,0,bye,0,0,0,8,11,40,4,0,0,0,3.75,0.05,2.5,0.5,1,0,0,,
Delanie Walker,TE,TEN,39,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,39,39,0,18,57,3.75,0.67,2,0.27,0.57,0,0,,
Ross Dwelley,TE,SF,0,0,0,0,0,0,1,0,13,0,bye,0,2,4,3,1,15,39,3.5,0,0,0,3.75,0.36,1.5,0.14,1,0,0,,
Sean Mannion,QB,MIN,0,0,0,0,0,0,10,0,0,bye,0,0,0,0,0,8,18,36,12,19,0,18,3.75,0,1.5,0,0,0,0,,
Marcus Kemp,WR,KC,0,0,1,0,1,0,3,0,0,3,3,bye,1,9,1,0,14,36,2.3,0,0,0,3.75,0.33,1.5,0.08,1,0,0,,
Mike Boone,RB,MIN,0,0,13,4,1,3,8,7,0,bye,0,0,0,0,0,0,0,36,4.5,0,0,0,4.27,0.61,1.5,0.14,0.67,0,0,,
Joe Webb,QB,HOU,0,0,0,0,0,0,0,0,3,bye,0,0,0,32,0,0,0,35,2.2,0,0,0,3.75,0,1.5,0,0,0,0,,
De'Anthony Thomas,WR,KC,7,5,4,9,10,0,0,0,0,0,0,bye,0,0,0,0,0,35,7,0,0,0,6,0.71,1.5,0.2,0.6,0.02,0,,
Chris Lacy,WR,DET,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,35,35,35,0,3,48,3.75,0.34,1.5,0.08,0,0,0,,
Geno Smith,QB,SEA,0,1,0,0,0,7,bye,0,0,0,0,13,1,0,0,0,10,32,6.4,0,0,0,3.75,0,1.5,0,0,0,0,,
Gehrig Dieter,WR,KC,0,0,0,0,0,0,0,0,0,0,0,bye,7,9,0,1,15,32,8,0,0,0,3.75,0.47,1.5,0.2,0.33,0,0,,
Charcandrick West,RB,IND,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,1,19,10,30,10,0,0,0,3.75,0.83,1.5,0.12,0.67,0.03,0,,
C.J. Prosise,RB,SEA,7,18,0,3,0,0,bye,0,0,2,0,0,0,0,0,0,0,30,6,0,0,0,3.75,0.77,1.5,0.13,1,0,0,,
Joshua Dobbs,QB,PIT,0,0,0,0,1,0,bye,1,1,8,0,0,0,19,0,0,0,30,6,0,0,0,3.75,0,1.5,0,0,0,0,,
Samaje Perine,RB,WAS,0,0,0,bye,0,8,2,0,15,0,0,0,0,0,0,0,5,30,6,0,0,0,4,0.63,1.5,0.16,1,0,0,,
Javon Wims,WR,CHI,0,0,0,1,bye,0,0,2,6,0,0,0,0,0,0,0,21,30,7.5,0,0,0,3.75,0.37,2.91,0.45,0.8,0,0,,
Derrick Willies,WR,CLE,1,0,1,2,26,0,0,0,0,0,bye,0,0,0,0,0,0,30,6,0,0,0,3.75,0.67,3.05,0.25,0.6,0,0,,
Roc Thomas,RB,JAC,0,0,0,4,14,5,3,3,bye,0,0,0,0,0,0,0,0,29,5.8,0,0,0,3.75,0.62,1.5,0.17,0.67,0,0,,
Detrez Newsome,RB,LAC,0,3,0,0,0,0,0,bye,0,0,0,8,0,0,18,0,0,29,3.2,0,0,0,4.45,0.48,1.5,0.14,1,0,0,,
Brian Hoyer,QB,NE,0,0,0,4,0,0,0,2,0,8,bye,0,0,0,0,9,4,27,5.4,0,0,0,3.75,0,1.5,0,0,0,0,,
River Cracraft,WR,DEN,0,0,0,0,0,0,0,0,7,bye,2,3,1,2,1,3,8,27,3.4,0,0,0,3.75,0.7,2.32,0.11,0.5,0,0,,
