Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary
Jimmy Graham,TE,GB,59,58,64,54,66,56,bye,46,59,39,21,22,54,47,47,64,39,795,49.7,0,11,74,3.75,0.7,1.5,0.15,0.66,0.08,0,,
Keenan Allen,WR,LAC,72,50,40,57,49,39,40,bye,43,50,69,52,58,54,17,59,45,794,49.6,1,17,80,8.33,0.6,2.5,0.26,0.78,0.19,0,,
Tyler Higbee,TE,LAR,60,64,58,34,53,55,42,62,42,50,59,bye,47,27,42,50,43,788,49.3,0,4,72,3.75,0.3,1.5,0.12,0.83,0.06,0,,
Adam Humphries,WR,TEN,44,29,53,49,0,51,57,62,55,54,49,38,41,57,29,63,50,781,48.8,0,13,70,5.5,0.73,1.5,0.18,0.74,0.33,0,,
Josh Rosen,QB,MIA,0,0,13,60,51,58,66,66,0,73,54,47,62,70,51,44,66,781,55.8,3,0,93,3.75,0,1.5,0,0,0,0,,
Blake Bortles,QB,LAR,63,71,57,77,83,48,30,64,0,75,69,70,0,0,0,23,47,777,59.8,7,0,90,3.75,0,1.5,0,0,0,0,,
Marcus Mariota,QB,TEN,36,0,53,71,54,44,71,bye,70,65,35,55,67,60,67,27,0,775,55.4,8,0,88,3.75,0,10.5,0.5,1,0,0,,
Tyler Boyd,WR,CIN,49,58,51,62,45,57,56,61,bye,41,52,72,66,64,39,0,0,773,55.2,0,14,86,3.75,0.65,2.06,0.21,0.74,0.26,0,,
Alshon Jeffery,WR,PHI,0,0,0,65,55,59,64,54,bye,60,51,64,66,51,64,61,57,771,59.3,0,12,90,3.75,0.63,1.74,0.19,0.72,0.19,0,,
Jared Cook,TE,NO,67,52,62,76,48,51,0,31,34,37,39,32,55,57,52,34,43,770,48.1,0,13,74,3.75,0.64,1.83,0.2,0.69,0.18,0,,
Antonio Callaway,WR,CLE,15,50,69,57,55,72,51,59,39,39,bye,38,41,38,49,47,47,766,47.9,0,10,70,3.5,0.64,1.5,0.16,0.55,0.18,0,,
