Player,FantasyProName,Pos,Team,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary,BottomTwentyFive,TopTwentyFive,Percentile,DKValue,ProjPts,numberFirePots,Active
Colt McCoy,Colt McCoy,QB,WAS,29.97,9,0,49.5,3.75,0,1.5,0,0,0,0,3600,0,7.938,13.968,3.6,0,0,0,0
Ed Dickson,Ed Dickson,TE,SEA,32.76,0,3.6,47.7,8.475,0.36,1.5,0.072,0.828,0.08,0,0,0,0,9.918,3.6,0,0,0,0
Matt Slater,Matt Slater,WR,NE,1.08,0,0,50,3.75,0,1.5,0,0,0,0,0,0,0,0,3.6,0,0,0,0
Brian Hoyer,Brian Hoyer,QB,IND,4.86,0,0,50,3.75,0,1.5,0,0,0,0,3690,0,3.177,23.13,3.6,0,0,0,0
Benjamin Watson,Benjamin Watson,TE,NE,28.44,0,8.1,43.2,3.75,0.441,1.5,0.153,0.711,0.06,0,0,0,3.105,16.866,3.6,0,0,0,0
Josh McCown,Josh McCown,QB,PHI,43.02,2.7,0,72,3.75,0,1.5,0,0,0,0,0,0,3.393,25.623,3.6,0,0,0,0
Drew Stanton,Drew Stanton,QB,CLE,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,Josh Johnson,QB,DET,45.9,9.9,0,77.4,3.75,0,1.5,0,0,0,0,3600,0,1.836,21.87,3.6,0,0,0,0
Matt Moore,Matt Moore,QB,KC,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Schaub,Matt Schaub,QB,ATL,3.6,0,0,50,3.75,0,1.5,0,0,0,0,0,0,12.852,13.788,3.6,0,0,0,0
