Player,FantasyProName,Pos,Team,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary,BottomTwentyFive,TopTwentyFive,Percentile,DKValue,ProjPts,numberFirePots,Active
Geronimo Allison,Geronimo Allison,WR,GB,43.38,0,10.8,64.8,3.75,0.639,1.602,0.149,0.639,0.07,0,3960,0,2.907,17.46,3.6,0,0,4.39,Active
Wendell Smallwood,Wendell Smallwood,RB,WAS,18.27,24.3,9.9,27,4.137,0.549,1.5,0.144,0.792,0.05,0.23,2880,0,5.31,15.3,3.6,0,0,3.95,Active
Geoff Swaim,Geoff Swaim,TE,JAC,51.21,0,6.8,84.2,3.75,0.432,1.5,0.137,0.883,0.06,0,2430,0,2.16,9.333,3.6,0,0,4.68,Active
Cameron Brate,Cameron Brate,TE,TB,30.06,0,8.7,47.8,3.75,0.621,1.5,0.127,0.667,0.15,0,0,0,2.52,16.812,3.6,0,0,4.49,Active
Zach Pascal,Zach Pascal,WR,IND,29.61,0,8.1,41.4,4.875,0.45,1.5,0.153,0.549,0.05,0,2700,0,1.98,15.93,3.6,0,0,4.39,Active
James O'Shaughnessy,James O'Shaughnessy,TE,JAC,34.29,0,7.6,59.7,3.75,0.468,1.502,0.141,0.701,0,0,2340,0,0.423,6.363,3.6,0,0,4.52,Active
Devontae Booker,Devontae Booker,RB,DEN,17.82,9.9,14.4,26.1,5.217,0.648,1.5,0.189,0.711,0,0.05,2700,0,3.987,16.605,3.6,0,0,4.05,Active
Samaje Perine,Samaje Perine,RB,CIN,5.4,0,0,50,3.975,0.567,1.5,0.144,0.9,0,0,3150,0,6.345,18.72,3.6,0,0,2.8,Active
Nick Boyle,Nick Boyle,TE,BAL,36.63,0,6.1,55.3,3.75,0.234,1.675,0.2,0.766,0,0,2340,0,1.836,6.12,3.6,0,0,4.17,Active
Charles Clay,Charles Clay,TE,ARI,34.92,0,7,53.8,3.75,0.423,1.5,0.134,0.694,0,0,2430,0,1.647,15.498,3.6,0,0,4.33,Active
Chester Rogers,Chester Rogers,WR,IND,33.48,0,10.8,45.9,3.75,0.603,1.5,0.162,0.675,0.05,0,2790,0,1.314,14.679,3.6,0,0,4.08,Active
Blake Jarwin,Blake Jarwin,TE,DAL,21.78,0,9.2,36.4,3.75,0.531,1.838,0.173,0.793,0.14,0,2610,0,2.835,23.625,3.6,0,0,4.11,Active
Tony Pollard,Tony Pollard,RB,DAL,30,5.9,0,53.2,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2.93,Active
Diontae Johnson,Diontae Johnson,WR,PIT,30,0,2.1,53.6,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,3.85,Active
Irv Smith Jr.,Irv Smith Jr.,TE,MIN,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,3.89,Active
Jeff Heuerman,Jeff Heuerman,TE,DEN,45.45,0,8.1,69.3,3.75,0.396,1.5,0.153,0.63,0.12,0,2520,0,1.305,10.755,3.6,0,0,4.09,Active
Keke Coutee,Keke Coutee,WR,HOU,40.05,0.9,13.5,57.6,3.75,0.567,1.548,0.207,0.666,0.04,0,3420,0,3.06,22.23,3.6,0,0,3.72,Active
De'Anthony Thomas,De'Anthony Thomas,WR,KC,6.3,0,0,50,5.775,0.639,1.5,0.18,0.54,0.02,0,2880,0,2.7,13.59,3.6,0,0,4.26,Active
Russell Shepard,Russell Shepard,WR,NYG,13.77,0,9,22.5,3.75,0.657,1.5,0.126,0.504,0.08,0,2700,0,1.278,7.002,3.6,0,0,3.73,Active
Richie James,Richie James,WR,SF,13.32,0,7.1,27.3,3.75,0.567,1.594,0.112,0.671,0.14,0,0,0,4.23,10.98,3.6,0,0,3.59,Active
Anthony Miller,Anthony Miller,WR,CHI,34.56,0.9,8.1,51.3,4.272,0.567,1.5,0.144,0.549,0.23,0,3690,0,2.007,13.995,3.6,0,0,4.67,Active
Chad Beebe,Chad Beebe,WR,MIN,13.77,0,8.8,26.9,3.75,0.72,1.8,0.149,1,0,0,2970,0,0,0,3.6,0,0,3.65,Active
Trey Burton,Trey Burton,TE,CHI,48.42,0,8.1,72,3.75,0.513,1.5,0.135,0.666,0.2,0,3330,0,2.16,17.145,3.6,0,0,3.7,Active
Jordan Reed,Jordan Reed,TE,WAS,35.37,0,14.4,54,3.75,0.603,1.5,0.207,0.621,0.12,0,3060,0,6.111,24.75,3.6,0,0,3.84,Active
Malik Turner,Malik Turner,WR,SEA,6.48,0,0,50,3.75,0.252,1.503,0.153,0.9,0,0,2700,0,0,0,3.6,0,0,3.48,Active
Ryquell Armstead,Ryquell Armstead,RB,JAC,30,1.3,1.3,51.4,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2.7,Active
Tyler Kroft,Tyler Kroft,TE,BUF,21.06,0,4.5,31.5,3.75,0.243,1.5,0.144,0.72,0,0,2430,0,0.603,13.923,3.6,0,0,3.28,Active
Alex Erickson,Alex Erickson,WR,CIN,20.52,0.9,10.8,36.6,6.972,0.549,1.63,0.157,0.739,0,0,2880,0,1.395,10.215,3.6,0,0,3.4,Active
C.J. Uzomah,C.J. Uzomah,TE,CIN,47.25,0,8,82.7,3.75,0.486,1.625,0.143,0.712,0.1,0,2520,0,1.485,11.25,3.6,0,0,3.46,Active
Phillip Dorsett,Phillip Dorsett,WR,NE,22.41,0.9,10.8,40.1,6.9,0.513,1.667,0.188,0.746,0.16,0,0,0,1.89,12.951,3.6,0,0,2.96,Active
Ian Thomas,Ian Thomas,TE,CAR,29.52,0,8.1,46.8,3.75,0.54,1.5,0.135,0.693,0.06,0,0,0,2.43,15.21,3.6,0,0,3.26,Active
Adam Shaheen,Adam Shaheen,TE,CHI,24.03,0,4.2,38.7,3.75,0.306,1.5,0.109,0.797,0.04,0,2790,0,1.26,12.96,3.6,0,0,1.98,Active
Seth Roberts,Seth Roberts,WR,BAL,34.29,0.9,10.1,59.7,3.75,0.594,1.5,0.15,0.775,0.1,0,2700,0,1.881,12.159,3.6,0,0,2.82,Active
Will Dissly,Will Dissly,TE,SEA,28.62,0,10.6,49.6,3.75,0.477,2.23,0.184,0.653,0.05,0,2520,0,1.26,20.25,3.6,0,0,3.04,Active
Trevor Davis,Trevor Davis,WR,GB,30,0,0.6,53,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2.93,Active
Marqise Lee,Marqise Lee,WR,JAC,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2.83,Active
